targetId,comparatorId,outcomeId,outcomeName,type
783,782,437082,Ankylosing spondylitis,outcome
783,782,4288544,Inguinal hernia,outcome
783,782,4304008,Memory impairment,outcome
783,782,440814,Torticollis,outcome
783,782,253796,Pneumothorax,outcome
783,782,433450,Paranoid schizophrenia,outcome
783,782,4239381,Psychoactive substance abuse,outcome
783,782,4223947,"Viral hepatitis, type A",outcome
783,782,435093,Closed fracture of femur,outcome
783,782,4207307,Infective meningitis,outcome
783,782,432590,Delusional disorder,outcome
783,782,30441,Sialolithiasis,outcome
783,782,134765,Cachexia,outcome
783,782,81336,Rectal prolapse,outcome
783,782,4114197,Tumor of hypothalamus,outcome
783,782,436676,Posttraumatic stress disorder,outcome
783,782,4092565,Uterine prolapse,outcome
783,782,198202,Cystocele,outcome
783,782,195212,Hypercortisolism,outcome
783,782,316457,Mallory-Weiss syndrome,outcome
783,782,192606,Paraplegia,outcome
783,782,374655,Mastoiditis,outcome
783,782,436675,Anorexia nervosa,outcome
783,782,4001458,Fatigue fracture of vertebra,outcome
783,782,380395,Retinal dystrophy,outcome
783,782,197036,Vesicoureteric reflux,outcome
783,782,4299544,Acanthosis nigricans,outcome
783,782,376132,Ectropion,outcome
783,782,80509,Bone cyst,outcome
783,782,438407,Bulimia nervosa,outcome
783,782,4339088,Testicular mass,outcome
816,818,318800,Gastroesophageal reflux disease,outcome
816,818,133228,Dental caries,outcome
816,818,376707,Acute conjunctivitis,outcome
816,818,75576,Irritable bowel syndrome,outcome
816,818,435613,Cellulitis,outcome
816,818,378424,Astigmatism,outcome
816,818,139902,Allergic urticaria,outcome
816,818,380731,Otitis externa,outcome
816,818,141323,Acute maxillary sinusitis,outcome
816,818,4079750,Osteoarthritis of knee,outcome
816,818,4150372,Acute otitis media,outcome
816,818,440129,Hypertrophy of nasal turbinates,outcome
816,818,4215978,Onychomycosis,outcome
816,818,4164337,Polyp of large intestine,outcome
816,818,381581,Chalazion,outcome
816,818,4108467,Burn of skin,outcome
816,818,374366,Sensorineural hearing loss,outcome
816,818,439840,Lymphangitis,outcome
816,818,138463,Aphthous ulcer of mouth,outcome
816,818,81878,Benign paroxysmal positional vertigo,outcome
816,818,377910,Deviated nasal septum,outcome
816,818,134453,Bursitis,outcome
816,818,201792,Nongonococcal urethritis,outcome
816,818,194997,Prostatitis,outcome
816,818,373478,Presbyopia,outcome
816,818,4142905,Fracture of rib,outcome
816,818,444367,Cholelithiasis without obstruction,outcome
816,818,194696,Dysmenorrhea,outcome
816,818,4049417,Vesicular eczema,outcome
816,818,380094,Carpal tunnel syndrome,outcome
816,818,140168,Psoriasis,outcome
816,818,72418,Scoliosis deformity of spine,outcome
816,818,72576,Benign tumor of breast,outcome
816,818,4131595,Fracture of radius,outcome
816,818,199074,Acute pancreatitis,outcome
816,818,381444,Contusion of eye,outcome
816,818,4153877,Post-traumatic wound infection,outcome
816,818,73300,Radial styloid tenosynovitis,outcome
816,818,433527,Endometriosis (clinical),outcome
816,818,4028970,Tracheobronchitis,outcome
816,818,141933,Alopecia areata,outcome
816,818,74855,Genital herpes simplex,outcome
816,818,40443308,Polycystic ovary syndrome,outcome
816,818,261880,Atelectasis,outcome
816,818,433440,Dysthymia,outcome
816,818,4218106,Alcoholism,outcome
816,818,198075,Condyloma acuminatum of the anogenital region,outcome
816,818,261326,Viral pneumonia,outcome
816,818,140362,Hypoparathyroidism,outcome
816,818,437082,Ankylosing spondylitis,outcome
816,818,4288544,Inguinal hernia,outcome
816,818,4304008,Memory impairment,outcome
816,818,440814,Torticollis,outcome
816,818,253796,Pneumothorax,outcome
816,818,433450,Paranoid schizophrenia,outcome
816,818,4239381,Psychoactive substance abuse,outcome
816,818,4223947,"Viral hepatitis, type A",outcome
816,818,435093,Closed fracture of femur,outcome
816,818,4207307,Infective meningitis,outcome
816,818,432590,Delusional disorder,outcome
816,818,30441,Sialolithiasis,outcome
816,818,134765,Cachexia,outcome
816,818,81336,Rectal prolapse,outcome
816,818,4114197,Tumor of hypothalamus,outcome
816,818,436676,Posttraumatic stress disorder,outcome
816,818,4092565,Uterine prolapse,outcome
816,818,198202,Cystocele,outcome
816,818,195212,Hypercortisolism,outcome
816,818,316457,Mallory-Weiss syndrome,outcome
816,818,192606,Paraplegia,outcome
816,818,374655,Mastoiditis,outcome
816,818,436675,Anorexia nervosa,outcome
816,818,4001458,Fatigue fracture of vertebra,outcome
816,818,380395,Retinal dystrophy,outcome
816,818,197036,Vesicoureteric reflux,outcome
816,818,4299544,Acanthosis nigricans,outcome
816,818,376132,Ectropion,outcome
816,818,80509,Bone cyst,outcome
816,818,438407,Bulimia nervosa,outcome
816,818,4339088,Testicular mass,outcome
784,793,318800,Gastroesophageal reflux disease,outcome
784,793,133228,Dental caries,outcome
